nb_links,length_url,length_hostname,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolon,nb_dollar,nb_www,nb_com,nb_dslash,ratio_digits_url,is_phish
3,138,60,9,0,0,3,0,0,3,0,0,9,0,3,0,0,0,3,3,0,0.326086956,1
2,256,240,20,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,2,0,0.109375,1
4,208,100,12,0,0,0,0,0,0,0,0,16,0,4,0,0,0,4,4,0,0,1
12,252,156,24,0,0,0,0,0,0,0,0,36,0,12,0,0,0,12,12,0,1.714285716,0
19,532,361,38,0,0,0,0,0,0,0,0,57,0,19,0,0,0,19,19,0,0,0
2,256,100,8,2,0,2,4,0,6,0,0,10,0,2,0,0,0,0,4,0,0.234375,1
1,50,15,2,0,0,1,0,0,1,0,0,5,0,1,0,0,0,1,1,0,0,1
3,153,42,15,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,6,0,0,1
9,315,198,18,0,0,0,0,0,0,0,0,36,0,9,0,0,0,9,9,0,0,0
7,154,105,14,0,0,0,0,0,0,0,0,14,0,7,0,0,0,7,0,0,0,0
4,228,56,12,4,0,0,0,0,0,0,0,28,0,4,0,0,0,4,0,0,0,1
6,234,180,12,12,0,0,0,0,0,0,0,18,0,6,0,0,0,6,0,0,0,0
2,88,36,6,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,2,0,0,1
3,84,63,6,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,3,0,0.107142858,1
18,1008,270,36,0,0,0,0,0,0,0,0,72,0,18,0,0,0,18,18,0,1.285714278,0
3,330,90,6,3,0,3,0,0,3,0,0,18,0,9,0,0,0,0,3,0,0.3,1
19,760,323,57,0,0,0,0,0,0,0,0,95,0,19,0,0,0,19,19,0,0,0
28,1736,448,56,56,0,0,0,0,0,0,0,196,0,28,0,0,0,28,28,0,2.258064508,0
17,1054,289,34,85,0,0,0,0,0,0,0,85,0,17,0,0,0,17,17,0,0.274193544,0
4,276,80,8,4,0,0,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,1
17,408,272,34,0,0,0,0,0,0,0,0,51,0,17,0,0,0,17,0,0,0,0
3,135,30,6,3,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0.666666666,1
16,416,272,32,0,0,0,0,0,0,0,0,48,0,16,0,0,0,16,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,540,435,30,15,0,0,0,0,0,0,0,30,0,15,0,0,0,0,15,0,0,0
6,330,108,24,6,0,0,0,0,0,0,0,30,0,6,0,0,0,0,0,0,0.654545454,0
11,275,176,22,0,0,0,0,0,0,0,0,33,0,11,0,0,0,11,0,0,0,0
13,767,260,52,0,0,13,0,0,13,0,0,52,0,13,0,0,0,13,13,0,0,0
3,93,69,6,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,3,0,0,1
4,384,28,12,0,0,4,4,0,8,0,24,12,0,4,0,0,0,4,0,0,0.458333332,1
8,216,152,16,0,0,0,0,0,0,0,0,24,0,8,0,0,0,8,0,0,0,0
24,1056,408,72,0,0,0,0,0,0,0,0,96,0,24,0,0,0,24,24,0,0,0
5,235,90,10,0,0,0,0,0,0,0,0,30,0,5,0,0,0,5,5,0,0,0
23,736,552,46,0,0,0,0,0,0,0,0,69,0,23,0,0,0,0,23,0,0,0
8,368,136,16,8,0,0,0,0,0,0,0,32,0,8,0,0,0,8,8,0,0,0
5,280,90,10,0,0,0,0,0,0,0,0,20,0,5,0,0,0,0,0,0,0,0
1,21,12,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1
15,750,225,30,30,0,0,0,0,0,0,0,75,0,15,0,0,0,15,0,0,0,0
3,159,105,12,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,3,0,0.792452829,1
1,68,59,4,7,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0.088235294,1
11,495,231,22,0,0,0,0,0,0,0,0,55,0,11,0,0,0,11,11,0,0,0
1,29,21,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0.068965517,1
4,272,72,24,0,4,4,0,0,4,0,0,20,0,4,0,0,0,4,8,0,0,1
3,183,72,9,0,0,0,0,0,0,0,0,18,0,3,0,0,0,3,3,0,0,1
4,376,80,12,0,0,4,0,0,4,0,4,16,0,4,0,0,0,0,4,0,0.29787234,1
16,496,352,32,0,0,0,0,0,0,0,0,48,0,16,0,0,0,0,16,0,0,0
3,213,33,6,3,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,276,66,6,3,0,0,0,0,0,0,0,24,0,3,0,0,0,0,3,0,0.423913044,1
28,2184,476,84,112,0,0,0,0,0,0,0,168,0,28,0,0,0,28,28,0,0,0
